country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1952,28.801,8425333,779.4453145
Albania,Europe,1952,55.23,1282697,1601.056136
Algeria,Africa,1952,43.077,9279525,2449.008185
Angola,Africa,1952,30.015,4232095,3520.610273
Argentina,Americas,1952,62.485,17876956,5911.315053
Australia,Oceania,1952,69.12,8691212,10039.59564
Austria,Europe,1952,66.8,6927772,6137.076492
Bahrain,Asia,1952,50.939,120447,9867.084765
Bangladesh,Asia,1952,37.484,46886859,684.2441716
Belgium,Europe,1952,68,8730405,8343.105127
Benin,Africa,1952,38.223,1738315,1062.7522
Bolivia,Americas,1952,40.414,2883315,2677.326347
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.5331948
Botswana,Africa,1952,47.622,442308,851.2411407
Brazil,Americas,1952,50.917,56602560,2108.944355
Bulgaria,Europe,1952,59.6,7274900,2444.286648
Burkina Faso,Africa,1952,31.975,4469979,543.2552413
Burundi,Africa,1952,39.031,2445618,339.2964587
Cambodia,Asia,1952,39.417,4693836,368.4692856
Cameroon,Africa,1952,38.523,5009067,1172.667655
Canada,Americas,1952,68.75,14785584,11367.16112
Central African Republic,Africa,1952,35.463,1291695,1071.310713
Chad,Africa,1952,38.092,2682462,1178.665927
Chile,Americas,1952,54.745,6377619,3939.978789
China,Asia,1952,44,556263527,400.448611
Colombia,Americas,1952,50.643,12350771,2144.115096
Comoros,Africa,1952,40.715,153936,1102.990936
"Congo, Dem. Rep.",Africa,1952,39.143,14100005,780.5423257
"Congo, Rep.",Africa,1952,42.111,854885,2125.621418
Costa Rica,Americas,1952,57.206,926317,2627.009471
Cote d'Ivoire,Africa,1952,40.477,2977019,1388.594732
Croatia,Europe,1952,61.21,3882229,3119.23652
Cuba,Americas,1952,59.421,6007797,5586.53878
Czech Republic,Europe,1952,66.87,9125183,6876.14025
Denmark,Europe,1952,70.78,4334000,9692.385245
Djibouti,Africa,1952,34.812,63149,2669.529475
Dominican Republic,Americas,1952,45.928,2491346,1397.717137
Ecuador,Americas,1952,48.357,3548753,3522.110717
Egypt,Africa,1952,41.893,22223309,1418.822445
El Salvador,Americas,1952,45.262,2042865,3048.3029
Equatorial Guinea,Africa,1952,34.482,216964,375.6431231
Eritrea,Africa,1952,35.928,1438760,328.9405571
Ethiopia,Africa,1952,34.078,20860941,362.1462796
Finland,Europe,1952,66.55,4090500,6424.519071
France,Europe,1952,67.41,42459667,7029.809327
Gabon,Africa,1952,37.003,420702,4293.476475
Gambia,Africa,1952,30,284320,485.2306591
Germany,Europe,1952,67.5,69145952,7144.114393
Ghana,Africa,1952,43.149,5581001,911.2989371
Greece,Europe,1952,65.86,7733250,3530.690067
Guatemala,Americas,1952,42.023,3146381,2428.237769
